Question,Option1,Option2,Option3,Option4,CorrectAnswer
"Which city is known as the Big Apple?", "Los Angeles", "Chicago", "New York City", "Miami", "New York City"
"Which ocean is the largest?", "Atlantic", "Indian", "Arctic", "Pacific", "Pacific"
"What is the capital of Japan?", "Seoul", "Beijing", "Tokyo", "Kyoto", "Tokyo"
"Which is the smallest country in the world?", "Monaco", "Nauru", "Vatican City", "San Marino", "Vatican City"
"Which U.S. state is famous for its volcanoes and beaches, especially Hawaii?", "Hawaii", "California", "Alaska", "Florida", "Hawaii"
"Which country is home to the ancient city of Petra?", "Jordan", "Israel", "Egypt", "Turkey", "Jordan"
"Which is the largest island in the Caribbean?", "Jamaica", "Cuba", "Hispaniola", "Puerto Rico", "Cuba"
"Which continent is the least populated?", "Europe", "Antarctica", "Asia", "Australia", "Antarctica"
"What is the capital city of Italy?", "Venice", "Rome", "Milan", "Florence", "Rome"
"Which country has the most number of islands?", "Canada", "Sweden", "Finland", "Norway", "Sweden"
