Question,Option1,Option2,Option3,Option4,CorrectAnswer
"Who was the first President of the United States?", "George Washington", "Thomas Jefferson", "Abraham Lincoln", "John Adams", "George Washington"
"In what year did the Titanic sink?", "1912", "1905", "1920", "1898", "1912"
"Which ancient civilization built the pyramids of Giza?", "Romans", "Greeks", "Egyptians", "Mesopotamians", "Egyptians"
"Who was the first emperor of China?", "Qin Shi Huang", "Han Wudi", "Kublai Khan", "Tang Taizong", "Qin Shi Huang"
"Which battle was fought in 1066 and led to the Norman Conquest of England?", "Battle of Hastings", "Battle of Waterloo", "Battle of Agincourt", "Battle of York", "Battle of Hastings"
"Who was the leader of the Soviet Union during World War II?", "Joseph Stalin", "Vladimir Lenin", "Leon Trotsky", "Nikita Khrushchev", "Joseph Stalin"
"What year did World War I start?", "1914", "1900", "1939", "1918", "1914"
"Who was the famous queen of ancient Egypt?", "Cleopatra", "Nefertiti", "Hatshepsut", "Isis", "Cleopatra"
"Which empire was ruled by Genghis Khan?", "Ottoman Empire", "Roman Empire", "Mongol Empire", "Persian Empire", "Mongol Empire"
"What was the name of the ship that carried the Pilgrims to America in 1620?", "The Mayflower", "The Santa Maria", "The Nina", "The Beagle", "The Mayflower"
