Question,Option1,Option2,Option3,Option4,CorrectAnswer
"Who discovered America in 1492?", "Christopher Columbus", "Leif Erikson", "Marco Polo", "Ferdinand Magellan", "Christopher Columbus"
"In which year did the Berlin Wall fall?", "1989", "1991", "1961", "1975", "1989"
"What war was fought between the North and South in the United States from 1861 to 1865?", "World War I", "Civil War", "Revolutionary War", "War of 1812", "Civil War"
"Which country was the first to land a man on the Moon?", "Russia", "China", "United States", "India", "United States"
"Who was the British Prime Minister during World War II?", "Winston Churchill", "Neville Chamberlain", "Margaret Thatcher", "Tony Blair", "Winston Churchill"
"Which ancient empire was known for its gladiators and colosseum?", "Roman Empire", "Greek Empire", "Ottoman Empire", "Persian Empire", "Roman Empire"
"In what year did the United States declare independence from Britain?", "1776", "1783", "1812", "1607", "1776"
"Who was the leader of the Nazi Party during World War II?", "Adolf Hitler", "Benito Mussolini", "Joseph Stalin", "Emperor Hirohito", "Adolf Hitler"
"Which empire ruled most of Europe and parts of Asia and Africa in the 16th century?", "Ottoman Empire", "Roman Empire", "Spanish Empire", "Mongol Empire", "Spanish Empire"
"Who was the first woman to fly solo across the Atlantic Ocean?", "Amelia Earhart", "Bessie Coleman", "Harriet Quimby", "Elinor Smith", "Amelia Earhart"
